original,nome_anterior,nome_novo,obs
img_0000.jpg,img_0000,img_0001.jpg,
img_0001.jpg,img_0001,img_0002.jpg,
img_0002.jpg,img_0002,img_0003.jpg,
img_0003.jpg,img_0003,img_0004.jpg,
img_0004.jpg,img_0004,img_0005.jpg,
img_0005.jpg,img_0005,img_0006.jpg,
img_0006.jpg,img_0006,img_0007.jpg,
img_0007.jpg,img_0007,img_0008.jpg,
img_0008.jpg,img_0008,img_0009.jpg,
img_0009.jpg,img_0009,img_0010.jpg,
img_0010.jpg,img_0010,img_0011.jpg,
img_0011.jpg,,img_0004.jpg,DUPLICATA
img_0012.jpg,img_0012,img_0012.jpg,
img_0013.jpg,img_0013,img_0013.jpg,
img_0014.jpg,img_0014,img_0014.jpg,
img_0015.jpg,,img_0008.jpg,DUPLICATA
img_0016.jpg,img_0016,img_0015.jpg,
img_0017.jpg,img_0017,img_0016.jpg,
img_0018.jpg,img_0018,img_0017.jpg,
img_0019.jpg,img_0019,img_0018.jpg,
img_0020.jpg,img_0020,img_0019.jpg,
cavidade/IMG_8694.HEIC,cav01,img_0020.jpg,
cavidade/IMG_8695(1).HEIC,cav02,img_0021.jpg,
cavidade/IMG_8695.HEIC,,img_0021.jpg,DUPLICATA
cavidade/IMG_8696(1).HEIC,cav03,img_0022.jpg,
cavidade/IMG_8696.HEIC,,img_0022.jpg,DUPLICATA
cavidade/IMG_8697.HEIC,cav04,img_0023.jpg,
cavidade/IMG_8699(1).HEIC,cav05,img_0024.jpg,
cavidade/IMG_8699.HEIC,,img_0024.jpg,DUPLICATA
cavidade/IMG_8701.HEIC,cav06,img_0025.jpg,
cavidade/IMG_8702(1).HEIC,cav07,img_0026.jpg,
cavidade/IMG_8702.HEIC,,img_0026.jpg,DUPLICATA
cavidade/IMG_8703(1).HEIC,cav08,img_0027.jpg,
cavidade/IMG_8703.HEIC,,img_0027.jpg,DUPLICATA
cavidade/IMG_8704(1).HEIC,cav09,img_0028.jpg,
cavidade/IMG_8704.HEIC,,img_0028.jpg,DUPLICATA
cavidade/IMG_8705.HEIC,cav10,img_0029.jpg,
cavidade/IMG_8706(1).HEIC,cav11,img_0030.jpg,
cavidade/IMG_8706.HEIC,,img_0030.jpg,DUPLICATA
